OBJECTID,Zone,District,Shape_Length,Shape_Area
1765,1A,1,6435.35221525761,2200386.1319275
1766,1B,1,7670.17699195916,3484915.43465624
1767,1C,1,17522.9168847889,12731582.8511613
1768,1E,1,8727.21114495376,4661120.87946162
1769,1F,1,8957.45845557545,4933226.5475275
1770,1G,1,12481.3521871068,8556996.68192169
1771,1H,1,10459.1060560253,5255852.28159523
1772,1I,1,12465.0326653798,9159329.58626967
1773,1J,1,12513.0558157619,9223343.49357829
1774,1K,1,13701.9215079674,7074752.97124924
1775,1L,1,15408.3322887055,12000511.3668812
1776,1M,1,16324.1804469159,15522735.8458539
1777,1N,1,13310.4005333956,8728522.86289214
1778,2A,2,17964.5147625239,21203375.4365915
1779,2B,2,23168.6936984776,31825215.647852
1780,2D,2,21147.3105504519,17606240.7165583
1781,2E,2,15623.0034647962,15291098.4635749
1782,2F,2,18258.9482063513,15341427.4855747
1783,2H,2,21492.0651541745,13556772.8536318
1784,2I,2,14995.4987574842,13187987.2969938
1785,2K,2,17577.1171925194,18282507.1291338
1786,2L,2,14867.217906277,12690874.4119093
1787,2M,2,13298.8219563425,9579484.48237814
1788,2N,2,12605.1011418457,8308741.77381938
1789,2O,2,8016.37547737085,3946689.72480545
1790,2P,2,12170.5845495009,4854469.24581443
1791,2Q,2,11703.2087539117,8783131.20099353
1792,2R,2,9859.22288396192,5108896.300406
1793,2S,2,14572.6494839211,11769212.8831996
1794,2T,2,15509.6141181669,12443389.9605044
1795,2U,2,13072.8751519246,9234422.46945247
1796,2V,2,12932.1650895897,8345263.31088307
1797,3A,3,18408.7023318105,14615557.40565
1798,3B,3,24422.5746007412,22529780.5381879
1799,3C,3,26143.1484967307,23090116.2753694
1800,3D,3,13609.9132229045,9748590.9367691
1801,3E,3,20884.8544953733,17731853.7073382
1802,3F,3,15779.5424765801,13957088.2830925
1803,3G,3,22394.735527685,28265920.3474783
1804,3H,3,14998.4614406208,11266045.0403037
1805,3I,3,28901.7842600572,50277099.0593018
1806,3J,3,28455.6513497187,42619829.0702952
1807,3K,3,21262.4390200073,27525077.2311165
1808,3L,3,17156.7231903157,16511510.8919253
1809,3M,3,18496.6106868713,19155560.4657625
1810,3N,3,16135.0543206503,15514431.9142056
1811,3O,3,17259.356963709,15900694.9249542
1812,3P,3,24737.7080647312,16815661.7720177
1813,3Q,3,18845.454031059,18597371.9020664
1814,3R,3,21932.9399306019,25691540.3021228
1815,3S,3,32959.8983311811,51563980.1887542
1816,3T,3,17750.3392105514,17411864.4661883
1817,3U,3,23797.8274274516,29025524.6507012
1818,3V,3,20157.4501523866,26040840.4865363
1819,3X,3,19241.2775837226,12991971.2645006
1820,3Y,3,20273.8211438847,26853433.6032504
1821,4A,4,19940.1476794335,18443294.1244423
1822,4B,4,19099.866894051,11776673.1551452
1823,4C,4,26415.1799324726,33471223.6884255
1824,4D,4,42739.9939425455,87199768.0800649
1825,4E,4,98857.6048877347,310663248.076863
1826,4F,4,15596.1369458765,14295391.3063724
1827,4G,4,14627.1261451023,12517766.4703694
1828,4H,4,19504.4437402472,21332095.9303219
1829,4I,4,20171.241697027,24147541.559501
1830,4J,4,17617.2564317727,16411825.7940173
1831,4K,4,32088.2163928502,33205101.7745369
1832,5A,5,13265.2838653798,10188974.7261171
1833,5B,5,14783.9046548585,9673614.73483544
1834,5C,5,16842.2691745272,16856055.4041637
1835,5D,5,20899.0909987777,23947032.0659362
1836,5E,5,26238.0321124351,42181620.2920059
1837,5G,5,16172.8473875362,11763986.1894938
1838,5H,5,17587.5958600585,19207409.9101133
1839,5I,5,24188.011032022,33312612.8191912
1840,5K,5,13660.1525023385,12172750.6312175
1841,5L,5,10481.75632491,6479459.995165
1842,5M,5,12640.0040220413,9602879.67901059
1843,5Q,5,27895.5604482628,50125708.2680238
1844,5R,5,27194.3946014477,41823683.376012
1845,6A,6,17614.3139794655,18781935.7338819
1846,6B,6,17087.9554517264,17545243.3341984
1847,6C,6,13163.3926021011,5747707.47905695
1848,6D,6,12692.011296301,8791907.45300644
1849,6E,6,11720.824954143,6960521.30849388
1850,6F,6,13547.890448661,7507545.48716616
1851,6G,6,10812.3751588868,5592446.36288094
1852,6H,6,10889.7150674072,6654839.14827852
1853,6I,6,9577.83511974691,5232071.20620756
1854,6J,6,9005.4452880784,4247243.58108182
1855,6K,6,8518.74854457731,4324270.42126119
1856,6L,6,8485.63628015516,4504236.94783032
1857,6M,6,12065.001457408,7910340.24953593
1858,6N,6,16354.0565336806,11220381.6622828
1859,6O,6,16500.0775578032,16153125.8073124
1860,6P,6,11703.3543430998,7651238.10314602
1861,6Q,6,18498.7062115426,13976550.8715264
1862,7A,7,31189.6516886293,27871745.2657662
1863,7B,7,37326.0073914135,72016601.0737965
1864,7C,7,22778.6833761906,24761582.7459874
1865,7D,7,36460.5869585967,49700557.0307433
1866,7E,7,13912.7142641985,10897935.5878706
1867,7F,7,17357.8422974648,11293925.5069437
1868,7G,7,58186.9325855001,161245630.398992
1869,7H,7,18665.5819149885,18942378.1204483
1870,7I,7,38080.1189853928,74243993.6656021
1871,7J,7,34422.4413651624,45437073.7641331
1872,7K,7,47758.5570522259,104444744.905939
1873,7L,7,131472.65769623,842953809.602862
1874,7M,7,110947.160109475,473139820.886019
1875,7N,7,243508.496457313,2034381134.05564
1876,7O,7,29382.345183602,33575430.8565039
1877,7P,7,24158.6337003729,28154054.969305
1878,7Q,7,18864.2593172977,14644924.2978627
1879,7R,7,19846.1154441958,16873624.9422082
1880,7S,7,8354.44471698795,4395004.43604385
1881,8A,8,15589.5878529517,11871518.0233343
1882,8B,8,10947.349648578,6273422.38175668
1883,8C,8,6792.16768848348,2012342.92777205
1884,8D,8,7776.4487824584,3564410.46974979
1885,8E,8,12896.658445738,7217424.28479585
1886,8F,8,8353.67644133636,3662661.11758255
1887,8G,8,12458.1711314346,7629887.18845874
1888,8H,8,7493.5978344522,3369127.8903812
1889,8I,8,6973.24018594788,3138717.97697174
1890,8J,8,12636.2745338425,9038593.44295982
